episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
1,49.149749233795916,0.24574874616897957,200,,200,200,212.5,280.04111614472305,0.1,0.0001,,,,,,
2,54.81047543901826,0.2740523771950913,200,,200,200,271.2,309.44034953738395,0.1,0.0001,,,,,,
3,13.991664230457292,0.06995832115228647,200,,200,200,261.95,371.0415266889756,0.1,0.0001,,,,,,
4,134.69804051021973,0.6734902025510986,200,2.42714426279068,200,200,206.5,136.25362516650412,0.09906250000000001,9.997640060704819e-05,,,,,,
5,136.07167422644892,0.6803583711322446,200,1.6996795558929443,200,200,179.65,121.32227812060472,0.098125,9.990562718069705e-05,200.0,200.0,186.25,114.04662673938653,141.54514044880943,200.0
6,138.6927143303437,0.6934635716517186,200,1.416168246269226,200,200,185.15,119.55790043456264,0.09718750000000001,9.978775395249772e-05,,,,,,
7,138.11393837535374,0.6905696918767688,200,1.2389880740642547,200,200,215.05,129.00425270877142,0.09625,9.962290455518922e-05,,,,,,
8,146.95368285342505,0.7347684142671252,200,1.0769216477870942,200,200,193.35,113.64967804961833,0.09531250000000001,9.941125189302517e-05,,,,,,
9,132.2232993810737,0.6611164969053686,200,0.936297333240509,200,200,172.7,120.705480300784,0.094375,9.915301796042087e-05,,,,,,
10,133.368037040136,0.6668401852006799,200,0.8666396319866181,200,200,196.4,114.96625537735541,0.0934375,9.884847360911174e-05,200.0,200.0,188.65,108.87016968594209,140.06437168812016,200.0
11,133.604575393719,0.668022876968595,200,0.7896746873855591,200,200,189.95,123.1959630590648,0.0925,9.849793826406756e-05,,,,,,
12,133.31420327072877,0.6665710163536438,200,0.7249752330780029,200,200,249.5,130.58328225155228,0.0915625,9.81017795884595e-05,,,,,,
13,123.86798030729807,0.6193399015364903,200,0.6716023319959641,200,200,215.95,132.04162044893556,0.09062500000000001,9.766041309803227e-05,,,,,,
14,135.01209135577233,0.6750604567788616,200,0.6843859457969665,200,200,218.3,133.35092247408204,0.0896875,9.71743017252856e-05,,,,,,
15,17.9221010511475,0.0896105052557375,200,0.7006138837337494,200,200,607.7,368.9378360145379,0.08875000000000001,9.664395533392185e-05,200.0,200.0,203.55,114.60456743365972,144.77285337179956,200.0
16,124.67419365572796,0.6233709682786398,200,0.7102144014835358,200,200,251.55,160.27206572016092,0.0878125,9.60699301840695e-05,,,,,,
17,114.90269600707016,0.5745134800353509,200,0.6823409605026245,200,200,270.65,164.40946511035847,0.08687500000000001,9.545282834884298e-05,,,,,,
18,119.79060774253,0.59895303871265,200,0.6639724868535996,200,200,217.1,152.22144829140262,0.0859375,9.479329708285122e-05,,,,,,
