episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
1,49.149749233795916,0.24574874616897957,200,,200,200,212.5,280.04111614472305,0.1,0.0001,,,,,,
2,54.81047543901826,0.2740523771950913,200,,200,200,271.2,309.44034953738395,0.1,0.0001,,,,,,
3,13.991664230457292,0.06995832115228647,200,,200,200,261.95,371.0415266889756,0.1,0.0001,,,,,,
4,134.69804051021973,0.6734902025510986,200,2.42714426279068,200,200,206.5,136.25362516650412,0.09906250000000001,9.997640060704819e-05,,,,,,
5,136.07167422644892,0.6803583711322446,200,1.6996795558929443,200,200,179.65,121.32227812060472,0.098125,9.990562718069705e-05,,,,,,
6,140.37253873006662,0.7018626936503332,200,1.4205467510223388,200,200,216.8,127.52353037600817,0.09718750000000001,9.978775395249772e-05,200.0,200.0,204.15,108.7142087044733,140.7907623316714,200.0
7,135.58250142735807,0.6779125071367903,200,1.2969385981559753,200,200,238.2,135.98499873404245,0.09625,9.962290455518922e-05,,,,,,
8,138.93376347593895,0.6946688173796948,200,1.131595367193222,200,200,191.5,118.50003585894237,0.09531250000000001,9.941125189302517e-05,,,,,,
9,140.36382797189742,0.7018191398594871,200,0.9726959657669068,200,200,188.1,108.51640401653965,0.094375,9.915301796042087e-05,200.0,200.0,178.35,110.85190682982642,141.6729701076258,200.0
10,139.04071483835236,0.6952035741917618,200,0.9016159856319428,200,200,186.05,118.61742548933253,0.0934375,9.884847360911174e-05,,,,,,
11,-1506.3343235219152,-7.531671617609576,200,2.6424878752231598,200,200,2821.6,760.866029859981,0.0925,9.849793826406756e-05,,,,,,
