episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
1,49.149749233795916,0.24574874616897957,200,,200,200,212.5,280.04111614472305,0.1,0.0001,,,,,,
2,54.81047543901826,0.2740523771950913,200,,200,200,271.2,309.44034953738395,0.1,0.0001,,,,,,
3,13.991664230457292,0.06995832115228647,200,,200,200,261.95,371.0415266889756,0.1,0.0001,,,,,,
4,134.69804051021973,0.6734902025510986,200,2.42714426279068,200,200,206.5,136.25362516650412,0.09906250000000001,9.997640060704819e-05,,,,,,
5,136.07167422644892,0.6803583711322446,200,1.6996795558929443,200,200,179.65,121.32227812060472,0.098125,9.990562718069705e-05,,,,,,
6,140.37253873006662,0.7018626936503332,200,1.4205467510223388,200,200,216.8,127.52353037600817,0.09718750000000001,9.978775395249772e-05,200.0,200.0,204.15,108.7142087044733,140.7907623316714,200.0
7,135.58250142735807,0.6779125071367903,200,1.2969385981559753,200,200,238.2,135.98499873404245,0.09625,9.962290455518922e-05,,,,,,
8,138.93376347593895,0.6946688173796948,200,1.131595367193222,200,200,191.5,118.50003585894237,0.09531250000000001,9.941125189302517e-05,,,,,,
9,140.36382797189742,0.7018191398594871,200,0.9726959657669068,200,200,188.1,108.51640401653965,0.094375,9.915301796042087e-05,200.0,200.0,178.35,110.85190682982642,141.6729701076258,200.0
10,139.04071483835236,0.6952035741917618,200,0.9016159856319428,200,200,186.05,118.61742548933253,0.0934375,9.884847360911174e-05,,,,,,
11,-1506.3343235219152,-7.531671617609576,200,2.6424878752231598,200,200,2821.6,760.866029859981,0.0925,9.849793826406756e-05,,,,,,
12,139.55212673460045,0.6977606336730022,200,4.01878582239151,200,200,176.35,119.95503422452059,0.0915625,9.81017795884595e-05,200.0,199.0,186.4321608040201,114.24746918339952,143.9425830333902,200.0
13,136.51351983111877,0.6825675991555938,200,3.6201304173469544,200,200,204.8,133.56324032195343,0.09062500000000001,9.766041309803227e-05,,,,,,
14,136.21340110300082,0.6810670055150041,200,3.2885370099544526,200,200,206.8,125.16060227355305,0.0896875,9.71743017252856e-05,,,,,,
15,142.65573328002787,0.7132786664001394,200,2.9924091029167177,200,200,199.4,114.96880341414077,0.08875000000000001,9.664395533392185e-05,200.0,200.0,202.4,108.51169344517444,146.4501077155881,200.0
16,-1264.3042787345641,-6.321521393672821,200,2.8509692049026487,200,200,2811.05,751.0105994220536,0.0878125,9.60699301840695e-05,,,,,,
17,135.2309898604382,0.676154949302191,200,3.9453247737884523,200,200,185.3,120.3475173673606,0.08687500000000001,9.545282834884298e-05,,,,,,
18,16.451624439275676,0.08225812219637837,200,3.695607626438141,200,200,606.75,405.60789588916714,0.0859375,9.479329708285122e-05,200.0,200.0,193.45,108.83764475581694,134.9991671688273,200.0
19,141.32017596999574,0.7066008798499788,200,3.6653851962089536,200,200,221.75,119.58134508980831,0.085,9.409202814331703e-05,,,,,,
20,138.01591861069565,0.6900795930534782,200,4.163005602359772,200,200,197.1,117.59777889048036,0.0840625,9.334975706451885e-05,,,,,,
21,136.55447694591896,0.6827723847295948,200,3.4044985389709472,200,200,205.9,124.21546047106534,0.083125,9.256726238631746e-05,200.0,200.0,221.3,109.28154566477261,144.95590337475593,200.0
22,145.25669234781267,0.7262834617390633,200,3.039992458820343,200,200,202.95,121.8897312950354,0.0821875,9.174536483757477e-05,,,,,,
23,-1205.8279263742072,-6.029139631871036,200,2.8432038629055025,200,200,2511.45,631.7462480757534,0.08125,9.08849264753227e-05,,,,,,
24,140.7279886794738,0.703639943397369,200,3.453986291885376,200,200,219.05,112.36019867174093,0.08031250000000001,8.998684978058452e-05,200.0,200.0,560.65,379.9664176600626,40.24999233845684,200.0
